# Simulation 13 (Up to date)
# 5013 data points written for 4 variables.
#
# Time (s),Altitude (m),Air pressure (mbar),Mach number (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=1 seconds
3.245,290.259,979.207,0.676
3.295,301.764,977.858,0.684
3.345,313.417,976.491,0.693
3.35,314.561,976.357,0.694
3.357,316.279,976.156,0.695
3.368,318.862,975.853,0.697
3.385,322.749,975.397,0.7
3.409,328.607,974.71,0.704
3.446,337.458,973.672,0.71
3.496,349.53,972.256,0.718
3.546,361.732,970.825,0.726
3.596,374.058,969.379,0.733
3.646,386.503,967.92,0.74
3.696,399.063,966.447,0.746
3.746,411.734,964.961,0.753
3.796,424.51,963.462,0.759
3.846,437.386,961.952,0.765
3.896,450.36,960.43,0.771
3.946,463.425,958.898,0.776
3.996,476.577,957.356,0.782
4.046,489.807,955.804,0.786
4.096,503.087,954.263,0.788
4.146,516.387,952.778,0.788
4.196,529.688,951.291,0.788
4.246,542.976,949.807,0.787
4.296,556.234,948.326,0.785
4.346,569.448,946.849,0.782
# Event BURNOUT occurred at t=4.35 seconds
4.35,570.394,946.744,0.782
4.355,571.812,946.585,0.781
4.363,573.938,946.348,0.781
4.376,577.124,945.992,0.78
4.394,581.897,945.458,0.779
4.421,589.04,944.66,0.777
4.462,599.722,943.467,0.774
4.512,612.739,942.013,0.771
4.562,625.696,940.565,0.767
4.612,638.594,939.124,0.764
4.662,651.433,937.689,0.76
4.712,664.214,936.262,0.757
4.762,676.936,934.84,0.754
4.812,689.601,933.425,0.751
4.862,702.209,932.016,0.747
4.912,714.76,930.614,0.744
4.962,727.255,929.218,0.741
5.012,739.693,927.829,0.738
5.062,752.076,926.445,0.734
5.112,764.404,925.068,0.731
5.162,776.676,923.697,0.728
5.212,788.894,922.332,0.725
5.262,801.057,920.973,0.722
5.312,813.165,919.62,0.719
5.362,825.22,918.273,0.716
5.412,837.221,916.932,0.713
5.462,849.169,915.597,0.71
5.512,861.064,914.268,0.706
5.562,872.906,912.945,0.703
5.612,884.696,911.628,0.7
5.662,896.433,910.317,0.697
5.712,908.119,909.011,0.694
5.762,919.753,907.711,0.691
5.812,931.336,906.417,0.688
5.862,942.868,905.129,0.686
5.912,954.35,903.846,0.683
5.962,965.782,902.569,0.68
6.012,977.163,901.297,0.677
6.062,988.495,900.031,0.674
6.112,999.777,898.771,0.671
6.162,1011.01,897.574,0.668
6.212,1022.195,896.385,0.666
6.262,1033.33,895.2,0.663
6.312,1044.417,894.021,0.66
6.362,1055.455,892.847,0.657
6.412,1066.446,891.678,0.655
6.462,1077.389,890.514,0.652
6.512,1088.284,889.355,0.649
6.562,1099.131,888.201,0.646
6.612,1109.931,887.052,0.644
6.662,1120.685,885.908,0.641
6.712,1131.391,884.769,0.638
6.762,1142.051,883.635,0.636
6.812,1152.666,882.506,0.633
6.862,1163.234,881.382,0.63
6.912,1173.756,880.263,0.628
6.962,1184.233,879.149,0.625
7.012,1194.665,878.039,0.622
7.062,1205.051,876.934,0.62
7.112,1215.393,875.834,0.617
7.162,1225.69,874.739,0.615
7.212,1235.943,873.648,0.612
7.262,1246.152,872.562,0.609
7.312,1256.316,871.481,0.607
7.362,1266.437,870.404,0.604
7.412,1276.514,869.333,0.601
7.462,1286.547,868.265,0.599
7.512,1296.537,867.203,0.596
7.562,1306.484,866.145,0.594
7.612,1316.388,865.091,0.592
7.662,1326.25,864.042,0.589
7.712,1336.068,862.998,0.587
7.762,1345.845,861.958,0.584
7.812,1355.579,860.922,0.582
7.862,1365.272,859.891,0.579
7.912,1374.922,858.865,0.577
7.962,1384.531,857.843,0.575
8.012,1394.098,856.825,0.572
8.062,1403.625,855.812,0.57
8.112,1413.11,854.803,0.568
8.162,1422.554,853.798,0.565
8.212,1431.957,852.798,0.563
8.262,1441.319,851.802,0.56
8.312,1450.642,850.81,0.558
8.362,1459.923,849.823,0.556
8.412,1469.165,848.84,0.553
8.462,1478.366,847.861,0.551
8.512,1487.527,846.887,0.549
8.562,1496.649,845.916,0.546
8.612,1505.731,844.98,0.544
8.662,1514.773,844.065,0.542
8.712,1523.776,843.153,0.54
8.762,1532.74,842.246,0.537
8.812,1541.665,841.343,0.535
8.862,1550.552,840.443,0.533
8.912,1559.399,839.548,0.53
8.962,1568.208,838.656,0.528
9.012,1576.979,837.769,0.526
9.062,1585.711,836.885,0.523
9.112,1594.405,836.005,0.521
9.162,1603.062,835.129,0.519
9.212,1611.68,834.256,0.517
9.262,1620.261,833.388,0.515
9.312,1628.804,832.523,0.513
9.362,1637.31,831.662,0.51
9.412,1645.779,830.805,0.508
9.462,1654.21,829.952,0.506
9.512,1662.604,829.102,0.504
9.562,1670.962,828.256,0.502
9.612,1679.282,827.414,0.5
9.662,1687.566,826.575,0.497
9.712,1695.813,825.741,0.495
9.762,1704.024,824.91,0.493
9.812,1712.198,824.082,0.491
9.862,1720.336,823.258,0.489
9.912,1728.438,822.438,0.487
9.962,1736.504,821.622,0.485
10.012,1744.534,820.809,0.483
10.062,1752.528,820,0.481
10.112,1760.486,819.195,0.478
10.162,1768.408,818.393,0.476
10.212,1776.296,817.595,0.474
10.262,1784.147,816.8,0.472
10.312,1791.964,816.009,0.47
10.362,1799.745,815.221,0.468
10.412,1807.492,814.437,0.466
10.462,1815.203,813.656,0.464
10.512,1822.88,812.879,0.462
10.562,1830.522,812.106,0.46
10.612,1838.129,811.336,0.458
10.662,1845.702,810.569,0.456
10.712,1853.241,809.806,0.454
10.762,1860.745,809.047,0.452
10.812,1868.216,808.291,0.45
10.862,1875.652,807.538,0.448
10.912,1883.054,806.789,0.446
10.962,1890.423,806.043,0.444
11.012,1897.758,805.301,0.442
11.062,1905.059,804.562,0.44
11.112,1912.326,803.826,0.438
11.162,1919.56,803.094,0.436
11.212,1926.761,802.365,0.434
11.262,1933.928,801.64,0.432
11.312,1941.062,800.918,0.43
11.362,1948.163,800.199,0.428
11.412,1955.23,799.484,0.426
11.462,1962.265,798.772,0.424
11.512,1969.266,798.063,0.422
11.562,1976.235,797.358,0.42
11.612,1983.17,796.656,0.419
11.662,1990.073,795.957,0.417
11.712,1996.944,795.261,0.415
11.762,2003.782,794.588,0.413
11.812,2010.587,793.933,0.411
11.862,2017.36,793.281,0.409
11.912,2024.101,792.632,0.407
11.962,2030.81,791.987,0.405
12.012,2037.486,791.344,0.403
12.062,2044.131,790.704,0.401
12.112,2050.744,790.068,0.399
12.162,2057.324,789.434,0.397
12.212,2063.874,788.804,0.395
12.262,2070.391,788.177,0.393
12.312,2076.877,787.552,0.392
12.362,2083.331,786.931,0.39
12.412,2089.754,786.313,0.388
12.462,2096.146,785.698,0.386
12.512,2102.507,785.085,0.384
12.562,2108.836,784.476,0.382
12.612,2115.134,783.87,0.381
12.662,2121.401,783.267,0.379
12.712,2127.637,782.667,0.377
12.762,2133.843,782.069,0.375
12.812,2140.017,781.475,0.374
12.862,2146.161,780.884,0.372
12.912,2152.274,780.295,0.37
12.962,2158.356,779.71,0.368
13.012,2164.408,779.127,0.366
13.062,2170.429,778.548,0.364
13.112,2176.42,777.971,0.362
13.162,2182.381,777.397,0.361
13.212,2188.311,776.827,0.359
13.262,2194.21,776.259,0.357
13.312,2200.08,775.694,0.355
13.362,2205.919,775.132,0.354
13.412,2211.728,774.573,0.352
13.462,2217.507,774.016,0.35
13.512,2223.256,773.463,0.348
13.562,2228.975,772.912,0.346
13.612,2234.664,772.365,0.345
13.662,2240.323,771.82,0.343
13.712,2245.953,771.278,0.342
13.762,2251.552,770.739,0.34
13.812,2257.122,770.203,0.338
13.862,2262.663,769.67,0.336
13.912,2268.173,769.139,0.335
13.962,2273.655,768.612,0.333
14.012,2279.107,768.087,0.331
14.062,2284.529,767.565,0.329
14.112,2289.923,767.046,0.328
14.162,2295.287,766.53,0.326
14.212,2300.622,766.016,0.324
14.262,2305.928,765.505,0.322
14.312,2311.204,764.998,0.321
14.362,2316.452,764.492,0.319
14.412,2321.671,763.99,0.317
14.462,2326.861,763.491,0.315
14.512,2332.022,762.994,0.314
14.562,2337.155,762.5,0.312
14.612,2342.258,762.008,0.31
14.662,2347.333,761.52,0.308
14.712,2352.38,761.034,0.306
14.762,2357.397,760.551,0.305
14.812,2362.387,760.071,0.303
14.862,2367.347,759.594,0.301
14.912,2372.28,759.119,0.3
14.962,2377.184,758.647,0.298
15.012,2382.059,758.178,0.296
15.062,2386.907,757.711,0.295
15.112,2391.726,757.247,0.293
15.162,2396.517,756.786,0.291
15.212,2401.279,756.327,0.29
15.262,2406.014,755.872,0.288
15.312,2410.721,755.419,0.287
15.362,2415.4,754.968,0.285
15.412,2420.051,754.521,0.284
15.462,2424.674,754.076,0.282
15.512,2429.269,753.633,0.28
15.562,2433.836,753.194,0.279
15.612,2438.376,752.757,0.277
15.662,2442.887,752.323,0.275
15.712,2447.371,751.891,0.274
15.762,2451.828,751.462,0.272
15.812,2456.257,751.036,0.27
15.862,2460.658,750.612,0.269
15.912,2465.032,750.191,0.267
15.962,2469.378,749.773,0.265
16.012,2473.697,749.357,0.263
16.062,2477.988,748.944,0.262
16.112,2482.251,748.534,0.26
16.162,2486.488,748.126,0.259
16.212,2490.696,747.721,0.257
16.262,2494.878,747.318,0.255
16.312,2499.032,746.918,0.254
16.362,2503.159,746.536,0.252
16.412,2507.259,746.161,0.25
16.462,2511.331,745.789,0.249
16.512,2515.376,745.419,0.247
16.562,2519.394,745.051,0.246
16.612,2523.385,744.686,0.244
16.662,2527.349,744.323,0.243
16.712,2531.285,743.963,0.241
16.762,2535.195,743.606,0.239
16.812,2539.078,743.25,0.238
16.862,2542.934,742.898,0.236
16.912,2546.763,742.547,0.234
16.962,2550.565,742.2,0.233
17.012,2554.34,741.854,0.231
17.062,2558.089,741.511,0.23
17.112,2561.81,741.171,0.228
17.162,2565.506,740.833,0.227
17.212,2569.174,740.497,0.225
17.262,2572.816,740.164,0.223
17.312,2576.432,739.833,0.222
17.362,2580.02,739.505,0.221
17.412,2583.583,739.179,0.219
17.462,2587.119,738.856,0.217
17.512,2590.628,738.535,0.215
17.562,2594.112,738.216,0.214
17.612,2597.568,737.9,0.213
17.662,2600.999,737.586,0.211
17.712,2604.403,737.274,0.21
17.762,2607.781,736.965,0.209
17.812,2611.133,736.659,0.207
17.862,2614.459,736.355,0.205
17.912,2617.758,736.053,0.204
17.962,2621.032,735.753,0.203
18.012,2624.279,735.456,0.201
18.062,2627.501,735.162,0.2
18.112,2630.696,734.869,0.198
18.162,2633.866,734.579,0.196
18.212,2637.009,734.292,0.195
18.262,2640.126,734.007,0.193
18.312,2643.218,733.724,0.191
18.362,2646.283,733.443,0.19
18.412,2649.323,733.165,0.188
18.462,2652.337,732.89,0.186
18.512,2655.325,732.616,0.185
18.562,2658.287,732.345,0.183
18.612,2661.223,732.077,0.182
18.662,2664.133,731.81,0.18
18.712,2667.018,731.547,0.179
18.762,2669.877,731.285,0.177
18.812,2672.71,731.026,0.175
18.862,2675.517,730.769,0.174
18.912,2678.298,730.515,0.172
18.962,2681.054,730.263,0.171
19.012,2683.784,730.013,0.17
19.062,2686.488,729.765,0.168
19.112,2689.167,729.52,0.167
19.162,2691.82,729.278,0.165
19.212,2694.447,729.037,0.163
19.262,2697.049,728.799,0.162
19.312,2699.625,728.564,0.16
19.362,2702.175,728.33,0.159
19.412,2704.7,728.099,0.157
19.462,2707.2,727.871,0.156
19.512,2709.673,727.644,0.155
19.562,2712.122,727.42,0.154
19.612,2714.545,727.199,0.152
19.662,2716.942,726.979,0.151
19.712,2719.315,726.762,0.149
19.762,2721.661,726.548,0.148
19.812,2723.983,726.335,0.146
19.862,2726.279,726.125,0.144
19.912,2728.549,725.918,0.143
19.962,2730.795,725.712,0.141
20.012,2733.015,725.509,0.139
20.062,2735.21,725.308,0.138
20.112,2737.379,725.11,0.136
20.162,2739.523,724.914,0.134
20.212,2741.642,724.72,0.133
20.262,2743.736,724.528,0.132
20.312,2745.804,724.339,0.13
20.362,2747.848,724.152,0.129
20.412,2749.866,723.968,0.128
20.462,2751.859,723.785,0.126
20.512,2753.827,723.605,0.125
20.562,2755.77,723.428,0.124
20.612,2757.688,723.252,0.122
20.662,2759.58,723.079,0.121
20.712,2761.448,722.908,0.12
20.762,2763.291,722.739,0.118
20.812,2765.109,722.573,0.117
20.862,2766.902,722.409,0.115
20.912,2768.669,722.247,0.114
20.962,2770.412,722.088,0.113
21.012,2772.131,721.931,0.111
21.062,2773.824,721.776,0.11
21.112,2775.492,721.623,0.109
21.162,2777.136,721.473,0.108
21.212,2778.754,721.325,0.107
21.262,2780.348,721.179,0.105
21.312,2781.918,721.036,0.104
21.362,2783.462,720.894,0.103
21.412,2784.982,720.755,0.1
21.462,2786.477,720.618,0.099
21.512,2787.947,720.484,0.097
21.562,2789.393,720.352,0.096
21.612,2790.813,720.222,0.094
21.662,2792.21,720.094,0.093
21.712,2793.581,719.969,0.091
21.762,2794.928,719.845,0.09
21.812,2796.25,719.724,0.089
21.862,2797.547,719.606,0.087
21.912,2798.82,719.489,0.086
21.962,2800.068,719.375,0.084
22.012,2801.291,719.263,0.083
22.062,2802.49,719.154,0.081
22.112,2803.664,719.046,0.079
22.162,2804.814,718.941,0.078
22.212,2805.939,718.838,0.077
22.262,2807.039,718.737,0.075
22.312,2808.115,718.639,0.074
22.362,2809.166,718.543,0.072
22.412,2810.192,718.449,0.071
22.462,2811.194,718.357,0.07
22.512,2812.171,718.268,0.07
22.562,2813.124,718.181,0.069
22.612,2814.053,718.096,0.067
22.662,2814.957,718.013,0.065
22.712,2815.836,717.933,0.064
22.762,2816.691,717.854,0.063
22.812,2817.521,717.778,0.061
22.862,2818.328,717.705,0.06
22.912,2819.109,717.633,0.059
22.962,2819.866,717.564,0.058
23.012,2820.599,717.497,0.057
23.062,2821.307,717.432,0.056
23.112,2821.991,717.37,0.056
23.162,2822.651,717.309,0.054
23.212,2823.287,717.251,0.053
23.262,2823.898,717.195,0.052
23.312,2824.484,717.142,0.052
23.362,2825.047,717.09,0.051
23.412,2825.585,717.041,0.049
23.462,2826.1,716.994,0.048
23.512,2826.59,716.949,0.048
23.562,2827.056,716.906,0.046
23.612,2827.498,716.866,0.046
23.662,2827.915,716.828,0.045
23.712,2828.309,716.792,0.045
23.762,2828.679,716.758,0.044
23.812,2829.024,716.726,0.043
23.862,2829.346,716.697,0.042
23.912,2829.644,716.67,0.043
23.962,2829.918,716.644,0.043
24.012,2830.169,716.622,0.042
24.062,2830.395,716.601,0.043
24.112,2830.599,716.582,0.042
24.162,2830.778,716.566,0.041
24.212,2830.934,716.551,0.041
24.262,2831.067,716.539,0.039
24.312,2831.176,716.529,0.039
24.362,2831.262,716.521,0.039
24.412,2831.325,716.516,0.039
24.462,2831.364,716.512,0.038
24.512,2831.38,716.511,0.038
# Event APOGEE occurred at t=24.562 seconds
24.562,2831.372,716.511,0.038
24.612,2831.342,716.514,0.038
24.662,2831.288,716.519,0.038
24.712,2831.212,716.526,0.038
24.762,2831.113,716.535,0.038
24.812,2830.99,716.546,0.037
24.862,2830.845,716.56,0.037
24.912,2830.678,716.575,0.037
24.962,2830.487,716.592,0.038
25.012,2830.274,716.612,0.038
25.062,2830.038,716.633,0.037
25.112,2829.779,716.657,0.039
25.162,2829.497,716.683,0.04
25.212,2829.192,716.711,0.04
25.262,2828.863,716.741,0.041
25.312,2828.513,716.773,0.041
25.362,2828.139,716.807,0.043
25.412,2827.744,716.843,0.045
25.462,2827.327,716.881,0.045
25.512,2826.889,716.922,0.046
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=25.562 seconds
25.562,2826.429,716.964,0.046
25.569,2826.367,716.969,0.043
25.576,2826.301,716.975,0.039
25.585,2826.228,716.982,0.036
25.596,2826.148,716.989,0.033
25.609,2826.058,716.998,0.03
25.626,2825.955,717.007,0.026
25.648,2825.83,717.018,0.023
25.679,2825.671,717.033,0.019
25.726,2825.457,717.053,0.017
25.794,2825.182,717.078,0.016
25.873,2824.887,717.105,0.013
26.029,2824.337,717.155,0.012
26.239,2823.592,717.223,0.011
26.439,2822.853,717.291,0.011
26.634,2822.122,717.358,0.011
26.827,2821.393,717.424,0.011
27.02,2820.664,717.491,0.011
27.213,2819.935,717.558,0.012
27.407,2819.21,717.624,0.011
27.601,2818.478,717.691,0.012
27.795,2817.751,717.758,0.012
27.988,2817.023,717.824,0.011
28.182,2816.293,717.891,0.012
28.375,2815.567,717.957,0.011
28.57,2814.836,718.024,0.012
28.763,2814.109,718.091,0.012
28.956,2813.382,718.157,0.011
29.151,2812.653,718.224,0.012
29.344,2811.935,718.29,0.012
29.543,2811.209,718.356,0.011
29.743,2810.474,718.423,0.011
29.939,2809.741,718.49,0.011
30.133,2809.012,718.557,0.011
30.326,2808.284,718.623,0.012
30.519,2807.57,718.689,0.011
30.719,2806.83,718.757,0.012
30.913,2806.103,718.823,0.012
31.107,2805.385,718.889,0.012
31.306,2804.658,718.955,0.011
31.506,2803.918,719.023,0.011
31.698,2803.191,719.089,0.012
31.891,2802.465,719.156,0.011
32.085,2801.737,719.222,0.011
32.278,2801.009,719.289,0.011
32.471,2800.282,719.356,0.011
32.664,2799.555,719.422,0.011
32.857,2798.828,719.489,0.012
33.05,2798.102,719.555,0.011
33.243,2797.375,719.622,0.011
33.436,2796.648,719.688,0.011
33.629,2795.921,719.755,0.011
33.822,2795.194,719.821,0.011
34.015,2794.467,719.888,0.011
34.208,2793.74,719.954,0.011
34.401,2793.013,720.02,0.012
34.593,2792.288,720.087,0.011
34.787,2791.56,720.153,0.012
34.979,2790.836,720.22,0.012
35.173,2790.111,720.286,0.011
35.368,2789.381,720.353,0.011
35.561,2788.655,720.419,0.011
35.753,2787.929,720.486,0.012
35.946,2787.213,720.551,0.011
36.145,2786.476,720.619,0.011
36.337,2785.75,720.685,0.012
36.53,2785.025,720.751,0.011
36.724,2784.298,720.818,0.011
36.916,2783.572,720.884,0.011
37.109,2782.847,720.951,0.011
37.302,2782.121,721.017,0.012
37.495,2781.397,721.083,0.012
37.688,2780.684,721.148,0.011
37.889,2779.943,721.216,0.011
38.082,2779.218,721.282,0.011
38.274,2778.492,721.349,0.011
38.467,2777.767,721.415,0.011
38.66,2777.042,721.482,0.011
38.852,2776.316,721.548,0.011
39.045,2775.591,721.614,0.012
39.238,2774.868,721.68,0.011
39.432,2774.141,721.747,0.011
39.625,2773.415,721.813,0.011
39.817,2772.69,721.88,0.012
40.01,2771.966,721.946,0.011
40.203,2771.24,722.012,0.012
40.396,2770.519,722.078,0.012
40.591,2769.795,722.145,0.011
40.786,2769.067,722.211,0.011
40.979,2768.341,722.277,0.012
41.172,2767.62,722.343,0.011
41.366,2766.893,722.41,0.011
41.56,2766.167,722.476,0.011
41.752,2765.442,722.543,0.012
41.945,2764.719,722.609,0.011
42.138,2763.994,722.675,0.012
42.331,2763.271,722.741,0.012
42.525,2762.551,722.807,0.011
42.721,2761.823,722.874,0.012
42.915,2761.101,722.94,0.011
43.11,2760.373,723.006,0.011
43.303,2759.648,723.073,0.012
43.496,2758.929,723.139,0.011
43.692,2758.202,723.205,0.011
43.885,2757.477,723.271,0.011
44.078,2756.751,723.338,0.011
44.271,2756.028,723.404,0.012
44.463,2755.32,723.469,0.012
44.664,2754.592,723.535,0.011
44.864,2753.855,723.603,0.011
45.056,2753.132,723.669,0.012
45.248,2752.41,723.735,0.011
45.441,2751.686,723.801,0.012
45.634,2750.964,723.867,0.011
45.828,2750.238,723.934,0.011
46.02,2749.515,724,0.012
46.212,2748.793,724.066,0.011
46.406,2748.069,724.132,0.011
46.598,2747.346,724.198,0.012
46.791,2746.63,724.264,0.011
46.987,2745.9,724.33,0.011
47.18,2745.176,724.397,0.011
47.373,2744.454,724.463,0.011
47.565,2743.73,724.529,0.011
47.758,2743.008,724.595,0.011
47.951,2742.284,724.661,0.011
48.143,2741.561,724.727,0.011
48.335,2740.839,724.793,0.011
48.528,2740.116,724.859,0.011
48.721,2739.393,724.926,0.012
48.913,2738.676,724.991,0.011
49.108,2737.951,725.058,0.012
49.302,2737.229,725.124,0.011
49.496,2736.504,725.19,0.012
49.688,2735.784,725.256,0.012
49.882,2735.067,725.321,0.011
50.079,2734.34,725.388,0.011
50.273,2733.614,725.454,0.011
50.465,2732.892,725.52,0.012
50.658,2732.174,725.586,0.011
50.852,2731.451,725.652,0.011
51.046,2730.727,725.718,0.012
51.238,2730.011,725.784,0.011
51.434,2729.282,725.851,0.011
51.626,2728.56,725.917,0.011
51.818,2727.839,725.983,0.012
52.011,2727.12,726.048,0.011
52.205,2726.397,726.115,0.012
52.398,2725.68,726.18,0.012
52.593,2724.964,726.246,0.011
52.792,2724.23,726.313,0.011
52.984,2723.509,726.379,0.011
53.176,2722.788,726.445,0.011
53.369,2722.066,726.511,0.012
53.561,2721.347,726.577,0.011
53.754,2720.623,726.643,0.011
53.946,2719.902,726.709,0.011
54.138,2719.181,726.775,0.012
54.33,2718.464,726.84,0.012
54.524,2717.758,726.905,0.011
54.727,2717.02,726.972,0.011
54.92,2716.296,727.039,0.011
55.112,2715.576,727.104,0.011
55.305,2714.855,727.17,0.012
55.497,2714.137,727.236,0.011
55.691,2713.415,727.302,0.011
55.884,2712.693,727.368,0.011
56.076,2711.972,727.434,0.011
56.268,2711.251,727.5,0.012
56.459,2710.535,727.566,0.011
56.653,2709.811,727.632,0.011
56.845,2709.09,727.698,0.011
57.037,2708.371,727.764,0.012
57.23,2707.654,727.829,0.011
57.424,2706.929,727.895,0.012
57.616,2706.218,727.961,0.011
57.813,2705.489,728.027,0.012
58.005,2704.772,728.093,0.012
58.199,2704.053,728.159,0.011
58.393,2703.329,728.225,0.011
58.585,2702.609,728.291,0.011
58.777,2701.89,728.356,0.012
58.969,2701.175,728.422,0.011
59.164,2700.449,728.488,0.011
59.356,2699.73,728.554,0.012
59.548,2699.012,728.62,0.011
59.741,2698.293,728.686,0.011
59.934,2697.571,728.752,0.011
60.126,2696.851,728.817,0.011
60.318,2696.132,728.883,0.011
60.51,2695.414,728.949,0.011
60.703,2694.693,729.015,0.011
60.895,2693.974,729.081,0.011
61.086,2693.255,729.146,0.011
61.278,2692.537,729.212,0.012
61.471,2691.823,729.277,0.011
61.666,2691.097,729.344,0.011
61.858,2690.378,729.41,0.011
62.05,2689.66,729.475,0.011
62.242,2688.941,729.541,0.011
62.434,2688.222,729.607,0.011
62.626,2687.504,729.672,0.011
62.818,2686.784,729.738,0.011
63.01,2686.065,729.804,0.011
63.202,2685.346,729.87,0.012
63.394,2684.631,729.935,0.012
63.587,2683.914,730.001,0.011
63.781,2683.191,730.067,0.012
63.973,2682.475,730.132,0.011
64.166,2681.754,730.198,0.011
64.358,2681.036,730.264,0.011
64.55,2680.317,730.33,0.011
64.741,2679.599,730.396,0.012
64.933,2678.885,730.461,0.012
65.127,2678.169,730.526,0.011
65.322,2677.445,730.593,0.011
65.514,2676.727,730.658,0.011
65.705,2676.01,730.724,0.011
65.898,2675.293,730.789,0.011
66.09,2674.576,730.855,0.011
66.284,2673.855,730.921,0.012
66.475,2673.142,730.986,0.011
66.67,2672.421,731.052,0.011
66.862,2671.702,731.118,0.012
67.054,2670.987,731.183,0.011
67.247,2670.267,731.249,0.012
67.439,2669.552,731.315,0.011
67.632,2668.832,731.381,0.011
67.824,2668.115,731.446,0.011
68.016,2667.397,731.512,0.011
68.207,2666.681,731.577,0.011
68.399,2665.965,731.643,0.011
68.592,2665.247,731.708,0.011
68.785,2664.529,731.774,0.012
68.977,2663.816,731.839,0.011
69.171,2663.094,731.906,0.011
69.362,2662.377,731.971,0.011
69.554,2661.66,732.037,0.012
69.745,2660.948,732.102,0.011
69.939,2660.226,732.168,0.012
70.131,2659.514,732.233,0.011
70.325,2658.795,732.299,0.011
70.517,2658.076,732.365,0.011
70.709,2657.362,732.43,0.011
70.901,2656.643,732.496,0.011
71.093,2655.926,732.561,0.012
71.284,2655.214,732.626,0.011
71.478,2654.494,732.692,0.012
71.669,2653.782,732.757,0.011
71.863,2653.062,732.823,0.011
72.055,2652.346,732.889,0.011
72.248,2651.629,732.954,0.011
72.439,2650.912,733.02,0.011
72.631,2650.197,733.085,0.011
72.823,2649.481,733.151,0.011
73.015,2648.766,733.216,0.012
73.207,2648.054,733.281,0.012
73.402,2647.338,733.347,0.011
73.597,2646.619,733.413,0.011
73.79,2645.9,733.478,0.011
73.981,2645.185,733.544,0.011
74.172,2644.469,733.609,0.012
74.364,2643.756,733.675,0.012
74.557,2643.048,733.739,0.011
74.754,2642.324,733.806,0.011
74.946,2641.607,733.871,0.011
75.137,2640.891,733.937,0.011
75.329,2640.177,734.002,0.011
75.52,2639.461,734.067,0.011
75.712,2638.746,734.133,0.012
75.904,2638.036,734.198,0.011
76.098,2637.314,734.264,0.011
76.289,2636.599,734.329,0.011
76.481,2635.884,734.395,0.011
76.672,2635.171,734.46,0.011
76.864,2634.456,734.525,0.011
77.056,2633.74,734.591,0.011
77.247,2633.027,734.656,0.012
77.44,2632.315,734.721,0.012
77.634,2631.609,734.786,0.012
77.833,2630.895,734.851,0.011
78.032,2630.168,734.918,0.011
78.224,2629.452,734.983,0.012
78.416,2628.745,735.048,0.011
78.612,2628.022,735.114,0.011
78.803,2627.308,735.179,0.011
78.995,2626.595,735.244,0.012
79.187,2625.882,735.31,0.011
79.381,2625.164,735.375,0.011
79.572,2624.45,735.441,0.011
79.763,2623.736,735.506,0.011
79.955,2623.022,735.571,0.011
80.146,2622.307,735.637,0.012
80.337,2621.598,735.701,0.011
80.531,2620.879,735.767,0.011
80.722,2620.165,735.833,0.011
80.913,2619.452,735.898,0.011
81.105,2618.739,735.963,0.011
81.297,2618.026,736.028,0.011
81.489,2617.31,736.094,0.011
81.68,2616.598,736.159,0.011
81.872,2615.885,736.224,0.011
82.064,2615.169,736.29,0.011
82.255,2614.455,736.355,0.011
82.446,2613.744,736.42,0.011
82.638,2613.031,736.485,0.012
82.831,2612.324,736.55,0.011
83.027,2611.601,736.616,0.011
83.217,2610.891,736.681,0.011
83.41,2610.175,736.746,0.011
83.601,2609.462,736.812,0.012
83.792,2608.753,736.877,0.011
83.985,2608.04,736.942,0.011
84.178,2607.325,737.007,0.011
84.37,2606.61,737.073,0.011
84.561,2605.897,737.138,0.011
84.752,2605.184,737.203,0.011
84.943,2604.471,737.268,0.011
85.134,2603.759,737.333,0.011
85.325,2603.046,737.399,0.011
85.516,2602.333,737.464,0.011
85.707,2601.621,737.529,0.011
85.899,2600.91,737.594,0.011
86.091,2600.197,737.659,0.011
86.282,2599.486,737.724,0.011
86.475,2598.771,737.79,0.011
86.666,2598.058,737.855,0.011
86.857,2597.347,737.92,0.011
87.048,2596.634,737.985,0.011
87.239,2595.921,738.05,0.011
87.43,2595.21,738.116,0.011
87.621,2594.497,738.181,0.011
87.812,2593.785,738.246,0.011
88.003,2593.073,738.311,0.012
88.194,2592.37,738.375,0.011
88.389,2591.651,738.441,0.011
88.581,2590.94,738.506,0.011
88.774,2590.229,738.571,0.011
88.966,2589.516,738.636,0.011
89.158,2588.803,738.702,0.011
89.35,2588.09,738.767,0.011
89.54,2587.378,738.832,0.011
89.731,2586.669,738.897,0.011
89.923,2585.958,738.962,0.011
90.115,2585.244,739.027,0.011
90.306,2584.534,739.092,0.011
90.497,2583.821,739.157,0.011
90.688,2583.113,739.222,0.011
90.88,2582.401,739.287,0.011
91.072,2581.688,739.353,0.011
91.263,2580.977,739.418,0.011
91.454,2580.266,739.483,0.011
91.645,2579.554,739.548,0.011
91.835,2578.845,739.613,0.011
92.027,2578.132,739.678,0.011
92.218,2577.423,739.743,0.011
92.409,2576.711,739.808,0.011
92.6,2576,739.873,0.011
92.79,2575.289,739.938,0.011
92.981,2574.578,740.003,0.011
93.172,2573.868,740.068,0.011
