# Simulation 13 (Up to date)
# 5013 data points written for 3 variables.
#
# Time (s),Air pressure (mbar),Mach number (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=1 seconds
654.571,944.218,0.01
654.744,944.283,0.01
654.918,944.348,0.01
655.092,944.413,0.01
655.265,944.478,0.01
655.439,944.544,0.01
655.612,944.609,0.01
655.786,944.674,0.01
655.959,944.739,0.01
656.133,944.805,0.01
656.305,944.87,0.01
656.478,944.935,0.01
656.651,945,0.01
656.823,945.065,0.01
656.996,945.13,0.01
657.171,945.195,0.01
657.344,945.26,0.01
657.519,945.325,0.01
657.693,945.391,0.01
657.865,945.456,0.01
658.039,945.521,0.01
658.212,945.586,0.01
658.385,945.651,0.01
658.557,945.716,0.01
658.73,945.781,0.01
658.903,945.846,0.01
659.076,945.911,0.01
659.249,945.976,0.01
659.424,946.042,0.01
659.597,946.107,0.01
659.77,946.172,0.01
659.943,946.237,0.01
660.116,946.302,0.01
660.288,946.367,0.01
660.462,946.432,0.01
660.634,946.497,0.011
660.808,946.561,0.01
660.987,946.626,0.01
661.164,946.692,0.01
661.336,946.757,0.01
661.512,946.822,0.01
661.686,946.887,0.01
661.859,946.952,0.01
662.032,947.017,0.01
662.206,947.082,0.01
662.382,947.148,0.01
662.554,947.213,0.01
662.727,947.277,0.01
662.9,947.343,0.01
663.072,947.407,0.01
663.246,947.472,0.01
663.42,947.537,0.01
663.593,947.603,0.01
663.766,947.668,0.01
663.938,947.733,0.01
664.111,947.797,0.01
664.284,947.862,0.01
664.457,947.927,0.01
664.63,947.992,0.01
664.802,948.057,0.01
664.974,948.122,0.01
665.147,948.187,0.01
665.319,948.252,0.01
665.493,948.317,0.01
665.665,948.382,0.01
665.838,948.447,0.01
666.011,948.512,0.01
666.184,948.577,0.01
666.357,948.642,0.01
666.53,948.707,0.01
666.704,948.772,0.01
666.877,948.837,0.01
667.05,948.902,0.01
667.222,948.967,0.01
667.395,949.031,0.01
667.567,949.096,0.01
667.743,949.161,0.01
667.917,949.226,0.01
668.089,949.291,0.01
668.262,949.356,0.01
668.435,949.421,0.01
668.607,949.486,0.01
668.78,949.551,0.01
668.953,949.616,0.01
669.125,949.68,0.01
669.297,949.745,0.01
669.471,949.81,0.01
669.646,949.875,0.01
669.818,949.94,0.01
669.99,950.004,0.01
670.165,950.07,0.01
670.337,950.134,0.01
670.51,950.199,0.01
670.682,950.264,0.01
670.854,950.329,0.01
671.028,950.394,0.01
671.2,950.459,0.01
671.373,950.524,0.01
671.545,950.588,0.01
671.72,950.653,0.01
671.892,950.718,0.01
672.065,950.783,0.01
672.238,950.848,0.01
672.411,950.912,0.01
672.584,950.977,0.01
672.757,951.042,0.01
672.93,951.107,0.01
673.104,951.172,0.01
673.277,951.237,0.01
673.449,951.301,0.01
673.621,951.366,0.01
673.794,951.431,0.01
673.967,951.495,0.011
674.143,951.559,0.01
674.322,951.625,0.01
674.496,951.69,0.01
674.669,951.754,0.01
674.842,951.82,0.01
675.015,951.884,0.01
675.188,951.949,0.01
675.36,952.013,0.01
675.534,952.078,0.01
675.709,952.143,0.01
675.881,952.207,0.01
676.057,952.273,0.01
676.229,952.337,0.01
676.401,952.401,0.01
676.578,952.467,0.01
676.75,952.532,0.01
676.922,952.596,0.01
677.094,952.661,0.01
677.268,952.726,0.01
677.441,952.791,0.01
677.613,952.855,0.01
677.785,952.92,0.01
677.957,952.985,0.01
678.129,953.049,0.01
678.305,953.114,0.01
678.477,953.179,0.011
678.649,953.242,0.01
678.827,953.308,0.01
679.001,953.373,0.01
679.173,953.437,0.01
679.347,953.502,0.01
679.52,953.567,0.01
679.693,953.631,0.01
679.866,953.696,0.01
680.039,953.76,0.01
680.213,953.825,0.01
680.386,953.89,0.01
680.558,953.955,0.01
680.73,954.019,0.01
680.903,954.084,0.01
681.077,954.149,0.01
681.25,954.213,0.01
681.422,954.278,0.01
681.595,954.343,0.01
681.767,954.407,0.01
681.939,954.472,0.01
682.111,954.536,0.01
682.283,954.601,0.01
682.456,954.668,0.01
682.629,954.736,0.01
682.801,954.804,0.01
682.974,954.871,0.01
683.148,954.94,0.01
683.32,955.008,0.01
683.492,955.075,0.01
683.665,955.143,0.01
683.838,955.211,0.01
684.01,955.279,0.01
684.183,955.346,0.01
684.355,955.414,0.01
684.527,955.482,0.01
684.699,955.55,0.01
684.87,955.618,0.01
685.042,955.685,0.01
685.217,955.753,0.01
685.39,955.821,0.01
685.562,955.889,0.01
685.734,955.956,0.01
685.906,956.024,0.01
686.078,956.091,0.01
686.252,956.159,0.01
686.424,956.227,0.01
686.596,956.295,0.01
686.768,956.363,0.01
686.941,956.43,0.01
687.112,956.498,0.01
687.285,956.565,0.01
687.458,956.633,0.01
687.632,956.701,0.01
687.804,956.769,0.01
687.977,956.837,0.01
688.149,956.904,0.01
688.321,956.972,0.01
688.493,957.039,0.01
688.667,957.107,0.01
688.84,957.175,0.01
689.012,957.242,0.01
689.186,957.31,0.01
689.357,957.377,0.01
689.533,957.446,0.01
689.705,957.513,0.01
689.877,957.581,0.01
690.051,957.649,0.01
690.223,957.716,0.01
690.398,957.784,0.01
690.569,957.852,0.01
690.741,957.919,0.01
690.913,957.987,0.01
691.085,958.055,0.01
691.257,958.122,0.01
691.428,958.189,0.01
691.605,958.257,0.01
691.776,958.325,0.01
691.948,958.393,0.01
692.12,958.46,0.01
692.292,958.528,0.01
692.464,958.595,0.01
692.635,958.663,0.01
692.808,958.73,0.01
692.981,958.798,0.01
693.154,958.866,0.01
693.326,958.933,0.01
693.498,959.001,0.01
693.67,959.068,0.01
693.843,959.136,0.01
694.015,959.204,0.01
694.186,959.271,0.01
694.358,959.339,0.01
694.53,959.406,0.01
694.702,959.474,0.01
694.874,959.541,0.01
695.047,959.609,0.01
695.22,959.676,0.01
695.392,959.744,0.01
695.564,959.811,0.01
695.737,959.879,0.01
695.908,959.946,0.01
696.081,960.014,0.01
696.252,960.082,0.01
696.424,960.149,0.01
696.595,960.216,0.01
696.767,960.284,0.01
696.939,960.351,0.01
697.11,960.419,0.01
697.282,960.486,0.01
697.454,960.554,0.01
697.626,960.621,0.01
697.798,960.688,0.01
697.975,960.755,0.01
698.152,960.824,0.01
698.323,960.891,0.01
698.495,960.959,0.01
698.667,961.026,0.01
698.838,961.093,0.01
699.012,961.161,0.01
699.183,961.229,0.01
699.355,961.296,0.01
699.527,961.363,0.01
699.7,961.431,0.01
699.871,961.498,0.01
700.043,961.566,0.01
700.215,961.633,0.01
700.386,961.7,0.01
700.56,961.768,0.01
700.732,961.835,0.01
700.905,961.902,0.01
701.08,961.97,0.01
701.251,962.038,0.01
701.424,962.105,0.01
701.596,962.172,0.01
701.767,962.24,0.01
701.939,962.307,0.01
702.11,962.374,0.01
702.284,962.442,0.01
702.455,962.509,0.01
702.627,962.577,0.01
702.799,962.644,0.01
702.971,962.711,0.01
703.144,962.779,0.01
703.316,962.846,0.01
703.488,962.913,0.01
703.663,962.981,0.01
703.834,963.048,0.01
704.005,963.115,0.01
704.178,963.183,0.01
704.35,963.25,0.01
704.521,963.317,0.01
704.693,963.385,0.01
704.865,963.452,0.01
705.038,963.519,0.01
705.21,963.587,0.01
705.382,963.654,0.01
705.554,963.721,0.01
705.725,963.789,0.01
705.896,963.856,0.01
706.068,963.923,0.01
706.241,963.991,0.01
706.741,964.187,0.01
706.912,964.254,0.01
707.084,964.321,0.01
707.256,964.389,0.01
707.428,964.456,0.01
707.599,964.523,0.01
707.77,964.591,0.01
707.942,964.658,0.01
708.113,964.725,0.01
708.285,964.792,0.01
708.456,964.859,0.01
708.628,964.926,0.01
708.805,964.993,0.01
708.979,965.061,0.01
709.151,965.128,0.01
709.323,965.196,0.01
709.494,965.263,0.01
709.666,965.33,0.01
709.837,965.397,0.01
710.01,965.464,0.01
710.181,965.532,0.01
710.353,965.599,0.01
710.525,965.666,0.01
710.696,965.733,0.01
710.869,965.8,0.01
711.04,965.868,0.01
711.212,965.935,0.01
711.383,966.002,0.01
711.556,966.069,0.01
711.727,966.136,0.01
711.899,966.204,0.01
712.07,966.271,0.01
712.242,966.338,0.01
712.414,966.405,0.01
712.586,966.472,0.01
712.759,966.539,0.01
712.93,966.606,0.01
713.102,966.674,0.01
713.273,966.741,0.01
713.444,966.808,0.01
713.616,966.875,0.01
713.788,966.942,0.01
713.959,967.009,0.01
714.13,967.075,0.01
714.306,967.143,0.01
714.477,967.211,0.01
714.648,967.277,0.01
714.822,967.345,0.01
714.993,967.412,0.01
715.164,967.479,0.01
715.336,967.546,0.01
715.507,967.613,0.01
715.679,967.68,0.01
715.851,967.747,0.01
716.022,967.814,0.01
716.193,967.881,0.01
716.364,967.948,0.01
716.535,968.016,0.01
716.706,968.083,0.01
716.877,968.149,0.01
717.052,968.216,0.01
717.226,968.284,0.011
717.397,968.35,0.01
717.575,968.416,0.009
717.754,968.485,0.01
717.925,968.552,0.01
718.096,968.619,0.01
718.267,968.686,0.01
718.437,968.753,0.011
718.609,968.819,0.01
718.786,968.887,0.01
718.958,968.954,0.01
719.129,969.021,0.01
719.301,969.088,0.01
719.472,969.155,0.01
719.644,969.222,0.01
719.816,969.289,0.01
719.987,969.356,0.01
720.159,969.422,0.01
720.333,969.49,0.01
720.506,969.557,0.01
720.677,969.624,0.01
720.848,969.69,0.01
721.021,969.757,0.01
721.195,969.825,0.01
721.366,969.892,0.01
721.537,969.958,0.01
721.709,970.026,0.01
721.88,970.093,0.01
722.051,970.159,0.01
722.224,970.227,0.01
722.394,970.293,0.01
722.566,970.36,0.01
722.738,970.427,0.01
722.908,970.494,0.01
723.08,970.561,0.01
723.251,970.628,0.01
723.422,970.695,0.01
723.595,970.762,0.01
723.765,970.828,0.01
723.939,970.895,0.01
724.111,970.962,0.01
724.283,971.029,0.01
724.454,971.096,0.01
724.627,971.163,0.01
724.802,971.23,0.01
724.975,971.297,0.01
725.145,971.364,0.01
725.317,971.431,0.01
725.488,971.497,0.01
725.659,971.563,0.01
725.835,971.631,0.011
726.006,971.697,0.01
726.183,971.765,0.01
726.356,971.832,0.01
726.528,971.899,0.01
726.699,971.966,0.01
726.87,972.032,0.01
727.041,972.099,0.01
727.211,972.166,0.01
727.384,972.233,0.01
727.555,972.3,0.01
727.725,972.366,0.01
727.899,972.433,0.01
728.069,972.5,0.01
728.241,972.567,0.01
728.412,972.633,0.01
728.584,972.7,0.01
728.755,972.767,0.01
728.926,972.834,0.01
729.097,972.901,0.01
729.267,972.967,0.01
729.439,973.034,0.01
729.61,973.101,0.01
729.78,973.168,0.01
729.951,973.235,0.01
730.122,973.301,0.01
730.294,973.368,0.01
730.466,973.435,0.01
730.637,973.502,0.01
730.808,973.568,0.01
730.98,973.635,0.01
731.151,973.702,0.01
731.323,973.769,0.01
731.495,973.835,0.01
731.667,973.902,0.01
731.837,973.969,0.01
732.008,974.036,0.01
732.179,974.102,0.01
732.349,974.169,0.01
732.52,974.236,0.01
732.69,974.302,0.01
732.861,974.369,0.01
733.032,974.436,0.01
733.202,974.503,0.01
733.373,974.569,0.01
733.543,974.636,0.01
733.716,974.703,0.01
733.886,974.769,0.01
734.058,974.836,0.01
734.23,974.903,0.01
734.4,974.969,0.01
734.572,975.036,0.01
734.742,975.103,0.01
734.913,975.169,0.01
735.085,975.236,0.01
735.255,975.302,0.01
735.428,975.368,0.01
735.603,975.436,0.01
735.773,975.502,0.01
735.944,975.568,0.01
736.121,975.636,0.01
736.293,975.703,0.01
736.463,975.769,0.011
736.634,975.835,0.01
736.812,975.902,0.01
736.984,975.969,0.01
737.156,976.035,0.01
737.328,976.102,0.01
737.498,976.169,0.01
737.67,976.235,0.01
737.842,976.302,0.01
738.013,976.369,0.01
738.184,976.435,0.01
738.354,976.502,0.01
738.525,976.568,0.01
738.696,976.635,0.01
738.866,976.701,0.01
739.037,976.768,0.01
739.209,976.834,0.01
739.381,976.901,0.01
739.552,976.968,0.01
739.722,977.034,0.01
739.893,977.1,0.01
740.069,977.167,0.01
740.24,977.234,0.01
740.411,977.3,0.01
740.584,977.367,0.01
740.754,977.434,0.01
740.925,977.5,0.01
741.095,977.567,0.01
741.266,977.633,0.01
741.437,977.7,0.01
741.607,977.766,0.01
741.78,977.833,0.01
741.95,977.899,0.01
742.121,977.966,0.01
742.291,978.032,0.01
742.462,978.099,0.01
742.633,978.165,0.01
742.804,978.232,0.01
742.975,978.298,0.01
743.145,978.364,0.01
743.317,978.431,0.01
743.487,978.498,0.01
743.658,978.564,0.01
743.828,978.631,0.01
743.999,978.697,0.01
744.169,978.763,0.01
744.34,978.83,0.01
744.511,978.896,0.01
744.681,978.963,0.01
744.852,979.029,0.01
745.023,979.096,0.01
745.194,979.162,0.01
745.364,979.229,0.01
745.535,979.295,0.01
745.705,979.361,0.01
745.878,979.428,0.01
746.049,979.494,0.01
746.221,979.561,0.01
746.393,979.627,0.01
746.563,979.694,0.01
746.733,979.76,0.01
746.903,979.826,0.01
747.074,979.893,0.01
747.244,979.959,0.01
747.418,980.026,0.01
747.588,980.092,0.01
747.759,980.158,0.01
747.929,980.225,0.01
748.1,980.291,0.01
748.27,980.358,0.01
748.44,980.424,0.01
748.611,980.49,0.01
748.781,980.557,0.01
748.951,980.623,0.01
749.121,980.689,0.01
749.292,980.756,0.01
749.463,980.822,0.01
749.633,980.888,0.01
749.804,980.955,0.01
749.974,981.021,0.01
750.145,981.087,0.01
750.315,981.154,0.01
750.485,981.22,0.01
750.655,981.286,0.01
750.826,981.353,0.01
750.997,981.419,0.01
751.168,981.485,0.01
751.338,981.552,0.01
751.508,981.618,0.01
751.679,981.684,0.01
751.849,981.751,0.01
752.019,981.816,0.01
752.192,981.883,0.01
752.362,981.949,0.01
752.532,982.016,0.01
752.702,982.082,0.01
752.872,982.148,0.01
753.042,982.215,0.01
753.212,982.281,0.01
753.382,982.347,0.01
753.552,982.413,0.01
753.722,982.48,0.01
753.892,982.545,0.01
754.065,982.612,0.01
754.236,982.678,0.01
754.406,982.745,0.01
754.576,982.811,0.01
754.747,982.877,0.01
754.917,982.943,0.01
755.087,983.01,0.01
755.257,983.076,0.01
755.427,983.142,0.01
755.598,983.208,0.01
755.77,983.274,0.01
755.943,983.341,0.01
756.113,983.407,0.01
756.283,983.473,0.01
756.453,983.539,0.01
756.624,983.605,0.01
756.794,983.672,0.01
756.963,983.738,0.011
757.134,983.803,0.01
757.31,983.869,0.01
757.484,983.936,0.01
757.654,984.003,0.01
757.823,984.069,0.01
757.993,984.135,0.01
758.164,984.201,0.01
758.335,984.267,0.01
758.508,984.333,0.01
758.678,984.4,0.01
758.848,984.466,0.01
759.018,984.532,0.01
759.188,984.598,0.01
759.358,984.664,0.01
759.528,984.73,0.01
759.698,984.796,0.01
759.867,984.862,0.01
760.038,984.929,0.01
760.207,984.994,0.01
760.379,985.061,0.01
760.551,985.127,0.01
760.72,985.193,0.01
760.891,985.259,0.01
761.062,985.325,0.01
761.231,985.391,0.01
761.401,985.457,0.01
761.571,985.523,0.01
761.742,985.59,0.01
761.911,985.656,0.01
762.082,985.722,0.01
762.252,985.788,0.01
762.422,985.854,0.01
762.591,985.919,0.01
762.766,985.986,0.01
762.935,986.052,0.01
763.105,986.118,0.01
763.278,986.184,0.01
763.448,986.25,0.01
763.618,986.316,0.01
763.787,986.382,0.01
763.959,986.449,0.01
764.129,986.514,0.01
764.3,986.581,0.01
764.47,986.646,0.01
764.641,986.713,0.01
764.811,986.778,0.01
764.982,986.844,0.01
765.154,986.911,0.01
765.324,986.977,0.01
765.493,987.043,0.01
765.663,987.109,0.01
765.833,987.175,0.01
766.003,987.241,0.01
766.173,987.306,0.01
766.348,987.373,0.01
766.517,987.439,0.01
766.687,987.505,0.01
766.857,987.571,0.01
767.027,987.637,0.01
767.196,987.702,0.01
767.367,987.769,0.01
767.537,987.834,0.01
767.707,987.9,0.01
767.878,987.966,0.01
768.049,988.032,0.01
768.22,988.098,0.01
768.389,988.164,0.01
768.559,988.23,0.01
768.728,988.296,0.01
768.898,988.362,0.01
769.068,988.428,0.01
769.237,988.494,0.01
769.409,988.56,0.01
769.579,988.626,0.01
769.748,988.692,0.01
770.248,988.886,0.01
770.418,988.952,0.01
770.589,989.018,0.01
770.759,989.084,0.01
770.929,989.15,0.01
771.098,989.215,0.01
771.269,989.281,0.01
771.438,989.347,0.01
771.608,989.413,0.01
771.779,989.479,0.01
771.948,989.545,0.01
772.119,989.611,0.01
772.289,989.677,0.01
772.46,989.743,0.01
772.629,989.808,0.01
772.798,989.874,0.01
772.968,989.94,0.01
773.138,990.006,0.01
773.307,990.072,0.01
773.477,990.137,0.01
773.648,990.203,0.01
773.818,990.269,0.01
773.988,990.335,0.01
774.159,990.401,0.01
774.331,990.466,0.009
774.505,990.533,0.01
774.675,990.599,0.01
774.844,990.664,0.01
775.016,990.73,0.01
775.188,990.796,0.01
775.359,990.862,0.01
775.528,990.927,0.01
775.7,990.992,0.009
775.875,991.059,0.01
776.044,991.125,0.01
776.213,991.191,0.01
776.383,991.257,0.01
776.552,991.321,0.01
776.727,991.388,0.01
776.896,991.454,0.01
777.066,991.52,0.01
777.235,991.585,0.01
777.404,991.651,0.01
777.574,991.717,0.01
777.743,991.782,0.01
777.915,991.848,0.01
778.085,991.914,0.01
778.254,991.98,0.01
778.423,992.045,0.01
778.596,992.111,0.01
778.767,992.177,0.011
778.936,992.241,0.01
779.115,992.308,0.01
779.287,992.374,0.01
779.456,992.44,0.01
779.625,992.506,0.01
779.795,992.571,0.01
779.965,992.637,0.01
780.138,992.703,0.01
780.307,992.769,0.01
780.477,992.834,0.01
780.646,992.9,0.01
780.815,992.966,0.01
780.984,993.031,0.01
781.154,993.097,0.01
781.323,993.163,0.01
781.493,993.228,0.01
781.662,993.294,0.01
781.834,993.359,0.01
782.006,993.425,0.01
782.175,993.491,0.01
782.344,993.557,0.01
782.514,993.622,0.01
782.684,993.688,0.01
782.854,993.753,0.01
783.028,993.819,0.009
783.202,993.885,0.01
783.371,993.951,0.01
783.54,994.016,0.01
783.71,994.082,0.01
783.879,994.147,0.01
784.049,994.213,0.01
784.22,994.279,0.01
784.391,994.344,0.01
784.56,994.41,0.01
784.729,994.476,0.01
784.899,994.541,0.01
785.068,994.607,0.01
785.237,994.672,0.01
785.407,994.738,0.01
785.577,994.803,0.01
785.747,994.869,0.01
785.916,994.935,0.01
786.085,995,0.01
786.254,995.066,0.01
786.423,995.131,0.01
786.593,995.197,0.01
786.762,995.263,0.01
786.931,995.328,0.01
787.101,995.394,0.01
787.27,995.459,0.01
787.439,995.525,0.01
787.609,995.59,0.01
787.78,995.656,0.01
787.949,995.721,0.01
788.12,995.787,0.01
788.289,995.853,0.01
788.458,995.918,0.01
788.629,995.984,0.01
788.798,996.049,0.01
788.968,996.115,0.01
789.138,996.18,0.01
789.307,996.246,0.01
789.476,996.311,0.01
789.648,996.377,0.01
789.817,996.442,0.01
789.987,996.508,0.01
790.157,996.573,0.01
790.327,996.639,0.01
790.496,996.704,0.01
790.665,996.769,0.01
790.836,996.835,0.01
791.006,996.9,0.01
791.178,996.965,0.01
791.352,997.032,0.01
791.522,997.097,0.01
791.692,997.163,0.01
791.861,997.228,0.01
792.031,997.294,0.01
792.2,997.359,0.01
792.37,997.425,0.01
792.539,997.49,0.01
792.708,997.555,0.01
792.879,997.621,0.01
793.048,997.686,0.01
793.218,997.752,0.01
793.387,997.817,0.01
793.556,997.882,0.01
793.727,997.948,0.01
793.896,998.013,0.01
794.065,998.079,0.01
794.234,998.144,0.01
794.403,998.21,0.01
794.572,998.275,0.01
794.742,998.34,0.01
794.911,998.406,0.01
795.08,998.471,0.01
795.251,998.536,0.01
795.421,998.602,0.01
795.59,998.667,0.01
795.759,998.733,0.01
795.928,998.798,0.01
796.097,998.864,0.01
796.266,998.929,0.01
796.435,998.994,0.01
796.603,999.06,0.01
796.772,999.125,0.01
796.943,999.19,0.01
797.113,999.256,0.01
797.282,999.321,0.01
797.451,999.386,0.01
797.62,999.451,0.01
797.792,999.517,0.01
797.961,999.583,0.01
798.13,999.648,0.01
798.299,999.713,0.01
798.469,999.779,0.01
798.637,999.844,0.01
798.806,999.909,0.01
798.975,999.974,0.009
799.148,1000.04,0.01
799.317,1000.105,0.01
799.486,1000.17,0.01
799.655,1000.236,0.01
799.823,1000.301,0.01
799.993,1000.366,0.01
800.162,1000.431,0.01
800.332,1000.497,0.01
800.501,1000.562,0.01
800.67,1000.627,0.01
800.84,1000.693,0.01
801.009,1000.758,0.01
801.178,1000.823,0.01
801.348,1000.888,0.01
801.52,1000.954,0.01
801.689,1001.019,0.01
801.857,1001.084,0.01
802.026,1001.15,0.01
802.195,1001.215,0.01
802.364,1001.28,0.01
802.533,1001.345,0.01
802.702,1001.411,0.01
802.87,1001.476,0.01
803.04,1001.541,0.01
803.209,1001.606,0.01
803.378,1001.672,0.01
803.547,1001.737,0.01
803.715,1001.802,0.01
803.885,1001.867,0.01
804.055,1001.932,0.01
804.223,1001.997,0.01
804.394,1002.063,0.01
804.563,1002.128,0.01
804.733,1002.193,0.01
804.902,1002.258,0.01
805.073,1002.323,0.01
805.244,1002.389,0.01
805.413,1002.454,0.01
805.582,1002.519,0.01
805.752,1002.584,0.01
805.92,1002.649,0.01
806.092,1002.715,0.01
806.26,1002.78,0.01
806.43,1002.845,0.01
806.598,1002.91,0.01
806.768,1002.975,0.01
806.936,1003.04,0.01
807.106,1003.105,0.01
807.276,1003.17,0.009
807.45,1003.236,0.01
807.618,1003.301,0.01
807.787,1003.366,0.01
807.958,1003.431,0.01
808.13,1003.496,0.01
808.301,1003.561,0.01
808.471,1003.627,0.01
808.639,1003.692,0.01
808.809,1003.757,0.01
808.978,1003.822,0.01
809.146,1003.887,0.01
809.315,1003.952,0.01
809.486,1004.018,0.01
809.654,1004.083,0.01
809.823,1004.147,0.01
809.994,1004.213,0.01
810.164,1004.277,0.009
810.338,1004.343,0.01
810.507,1004.407,0.009
810.679,1004.473,0.01
810.848,1004.538,0.01
811.017,1004.603,0.01
811.186,1004.668,0.01
811.355,1004.734,0.01
811.524,1004.798,0.01
811.694,1004.864,0.01
811.864,1004.928,0.01
812.033,1004.993,0.01
812.205,1005.059,0.01
812.375,1005.124,0.01
812.543,1005.189,0.01
812.712,1005.253,0.01
812.883,1005.319,0.01
813.052,1005.384,0.01
813.22,1005.449,0.01
813.389,1005.514,0.01
813.56,1005.579,0.01
813.728,1005.644,0.01
813.896,1005.709,0.01
814.067,1005.774,0.01
814.236,1005.839,0.01
814.405,1005.904,0.01
814.573,1005.969,0.01
814.742,1006.034,0.01
814.91,1006.099,0.01
815.082,1006.164,0.01
815.253,1006.229,0.01
815.422,1006.294,0.01
815.59,1006.359,0.01
815.759,1006.424,0.01
815.927,1006.489,0.01
816.095,1006.554,0.01
816.264,1006.619,0.01
816.432,1006.683,0.01
816.606,1006.748,0.009
816.778,1006.814,0.01
816.946,1006.879,0.01
817.115,1006.944,0.01
817.283,1007.009,0.01
817.452,1007.074,0.01
817.621,1007.139,0.01
817.789,1007.203,0.01
817.961,1007.269,0.01
818.129,1007.334,0.01
818.297,1007.399,0.01
818.466,1007.463,0.01
818.634,1007.528,0.01
818.802,1007.593,0.01
818.973,1007.658,0.01
819.141,1007.723,0.01
819.309,1007.787,0.009
819.482,1007.853,0.01
819.65,1007.918,0.01
819.818,1007.983,0.01
819.987,1008.047,0.009
820.158,1008.113,0.01
820.326,1008.177,0.01
820.496,1008.242,0.01
820.664,1008.307,0.01
820.832,1008.372,0.01
821,1008.436,0.01
821.171,1008.501,0.01
821.342,1008.566,0.01
821.512,1008.632,0.01
821.68,1008.696,0.01
821.848,1008.761,0.01
822.016,1008.826,0.01
822.184,1008.891,0.01
822.352,1008.955,0.01
822.524,1009.021,0.01
822.693,1009.085,0.01
822.863,1009.15,0.01
823.032,1009.215,0.01
823.2,1009.28,0.01
823.368,1009.345,0.01
823.536,1009.409,0.01
823.705,1009.475,0.01
823.873,1009.539,0.01
824.042,1009.604,0.01
824.21,1009.669,0.01
824.378,1009.733,0.01
824.549,1009.798,0.01
824.719,1009.863,0.01
824.888,1009.928,0.01
825.057,1009.992,0.009
825.231,1010.058,0.01
825.4,1010.123,0.01
825.568,1010.187,0.011
825.738,1010.251,0.009
825.915,1010.317,0.01
826.084,1010.382,0.01
826.252,1010.446,0.009
826.423,1010.511,0.01
826.591,1010.576,0.01
826.761,1010.64,0.01
826.932,1010.705,0.01
827.101,1010.77,0.01
827.269,1010.835,0.01
827.437,1010.9,0.01
827.606,1010.964,0.009
827.78,1011.029,0.01
827.948,1011.094,0.01
828.116,1011.159,0.01
828.285,1011.224,0.01
828.453,1011.288,0.01
828.621,1011.353,0.01
828.789,1011.417,0.01
828.96,1011.482,0.01
829.129,1011.547,0.01
829.299,1011.612,0.01
829.468,1011.677,0.01
829.636,1011.741,0.01
829.807,1011.806,0.01
829.976,1011.871,0.01
830.144,1011.935,0.01
830.313,1012,0.01
830.482,1012.065,0.01
830.65,1012.129,0.01
830.819,1012.194,0.01
830.987,1012.259,0.01
831.156,1012.323,0.01
831.324,1012.388,0.01
831.495,1012.453,0.01
831.663,1012.517,0.01
831.831,1012.582,0.01
832,1012.647,0.01
832.168,1012.711,0.01
832.337,1012.776,0.01
832.509,1012.841,0.01
832.677,1012.905,0.01
832.845,1012.97,0.01
833.013,1013.035,0.01
833.181,1013.099,0.01
# Event GROUND_HIT occurred at t=833.572 seconds
# Event SIMULATION_END occurred at t=833.572 seconds
833.572,1013.25,0.01
